Locality,RestaurantName,Address,Category,CostForTwo,Cuisines,Ratings,votes,Latitude,Longitude
C Scheme,Tea Tradition,"D 29-A, Chandra Niwas, Subhash Marg, C Scheme, Jaipur",Café,450,"Cafe, Fast Food",4.0,334,26.9112953,75.80240789999998
C Scheme,The Juice Shop,"J 2, Jamnalal Bajaj Marg, Ashok Nagar, C Scheme, Jaipur","Beverage Shop, Quick Bites",400,"Juices, Beverages, Healthy Food, Chinese, Fast Food",4.1,299,26.9063027,75.7964126
C Scheme,Aunty's Cafe,"20, Nigam Chat Bazaar, Sarojini Marg, C Scheme, Jaipur",Quick Bites,500,"North Indian, Chinese, South Indian, Fast Food, Street Food",2.3,418,26.909322399999997,75.80240789999998
C Scheme,LOL,"8th Floor, Ambition Tower, Agrasen Circle, C Scheme, Jaipur",Casual Dining,1200,"Italian, North Indian, Chinese, Mexican",3.9,298,26.913250199999997,75.8029269
C Scheme,Jaipur Modern Kitchen,"51, Sardar Patel Marg, Dhuleshwar Garden Crossing, C Scheme, Jaipur",Casual Dining,1600,"Italian, Mediterranean",3.9,269,26.913299900000002,75.7979443
C Scheme,The Feast,"E92, Ground Floor, Coral Castle, Subhash Marg, C Scheme, Jaipur","Café, Bakery",650,"Cafe, Bakery, Italian",4.0,256,26.9127022,75.80297139999998
C Scheme,Mix Tape Bistro,"E-141, A /3, Sardar Patel Marg, C Scheme, Jaipur","Café, Casual Dining",800,"Cafe, North Indian, Mexican, Fast Food",4.0,295,26.9048921,75.7942036
C Scheme,Sagar Ratna,"J-34, Subhash Marg, Bagadiya Bhawan, C Scheme, Jaipur",Casual Dining,550,"South Indian, North Indian, Chinese",4.4,332,26.9079609,75.79921639999998
C Scheme,Blue Tokai Coffee Roasters,"101, 1st Floor, Suryavanshi Pearl, A-5 Chomu House, Sardar Patel Marg, C Scheme, Jaipur",Café,900,"Cafe, Coffee",4.2,238,26.910995399999997,75.7953067
C Scheme,Midtown Restaurant,"C-93, Shubash Marg, Near Ahinsa Cirlce, C Scheme, Jaipur",Casual Dining,750,"North Indian, Chinese, Fast Food",3.8,344,26.915847600000003,75.8067252
